Country Name,Country Code,Year,Import_Dependency_Pct
North Macedonia,MKD,1991,50.1
Norway,NOR,1991,-501.9
OECD members,OED,1991,26.0
Oman,OMN,1991,-590.0
Other small states,OSS,1991,-88.0
Pakistan,PAK,1991,19.8
Panama,PAN,1991,175.2
Paraguay,PRY,1991,-53.7
Peru,PER,1991,0.6
Philippines,PHL,1991,42.5
Poland,POL,1991,1.2
Portugal,PRT,1991,87.6
Post-demographic dividend,PST,1991,31.6
Pre-demographic dividend,PRE,1991,-99.1
Qatar,QAT,1991,-281.0
Romania,ROU,1991,28.5
Russian Federation,RUS,1991,-39.7
Rwanda,RWA,1991,2.8
Saudi Arabia,SAU,1991,-580.3
Senegal,SEN,1991,48.7
Serbia,SRB,1991,26.8
Singapore,SGP,1991,203.5
Slovak Republic,SVK,1991,72.9
Slovenia,SVN,1991,42.2
Small states,SST,1991,-91.8
South Africa,ZAF,1991,-23.8
South Asia,SAS,1991,12.3
South Asia (IDA & IBRD),TSA,1991,12.3
Spain,ESP,1991,67.7
Sri Lanka,LKA,1991,29.9
Sub-Saharan Africa,SSF,1991,-62.2
Sub-Saharan Africa (IDA & IBRD countries),TSS,1991,-62.2
Sub-Saharan Africa (excluding high income),SSA,1991,-67.9
Sweden,SWE,1991,36.4
Switzerland,CHE,1991,61.2
Syrian Arab Republic,SYR,1991,-125.3
Tajikistan,TJK,1991,64.1
Tanzania,TZA,1991,9.6
Thailand,THA,1991,39.4
Trinidad and Tobago,TTO,1991,-99.3
Tunisia,TUN,1991,-31.5
Turkiye,TUR,1991,48.2
Turkmenistan,TKM,1991,-387.7
Uganda,UGA,1991,3.6
Ukraine,UKR,1991,53.7
United Arab Emirates,ARE,1991,-389.0
United Kingdom,GBR,1991,5.2
United States,USA,1991,16.7
Upper middle income,UMC,1991,-16.0
Uruguay,URY,1991,64.2
Uzbekistan,UZB,1991,18.6
Viet Nam,VNM,1991,-11.1
World,WLD,1991,0.9
"Yemen, Rep.",YEM,1991,-226.5
Zambia,ZMB,1991,7.4
Zimbabwe,ZWE,1991,10.4
Africa Eastern and Southern,AFE,1992,-23.8
Africa Western and Central,AFW,1992,-208.8
Albania,ALB,1992,-3.4
Algeria,DZA,1992,-331.5
Angola,AGO,1992,-432.8
Arab World,ARB,1992,-315.7
Argentina,ARG,1992,-7.1
Armenia,ARM,1992,97.0
Australia,AUS,1992,-95.9
Austria,AUT,1992,69.8
Azerbaijan,AZE,1992,4.0
Bahrain,BHR,1992,-143.1
Bangladesh,BGD,1992,14.1
Belarus,BLR,1992,88.7
Belgium,BEL,1992,85.8
Benin,BEN,1992,-2.1
Bolivia,BOL,1992,-80.4
Bosnia and Herzegovina,BIH,1992,18.5
Brazil,BRA,1992,27.5
Brunei Darussalam,BRN,1992,-725.0
Bulgaria,BGR,1992,58.0
Cameroon,CMR,1992,-112.1
Canada,CAN,1992,-38.8
Caribbean small states,CSS,1992,-86.9
