year,population,Region
2018,58467.75,Central Jutland
2019,58534.5,Central Jutland
2020,58638.75,Central Jutland
2021,58619.75,Central Jutland
2022,58776.0,Central Jutland
2023,59005.0,Central Jutland
2024,59053.25,Central Jutland
2008,80453.0,Central Jutland
2009,81553.5,Central Jutland
2010,82215.5,Central Jutland
2011,83039.25,Central Jutland
2012,83974.75,Central Jutland
2013,85118.75,Central Jutland
2014,86008.25,Central Jutland
2015,86802.0,Central Jutland
2016,88213.75,Central Jutland
2017,89255.0,Central Jutland
2018,89878.0,Central Jutland
2019,90818.75,Central Jutland
2020,91335.25,Central Jutland
2021,92945.25,Central Jutland
2022,95314.25,Central Jutland
2023,96771.25,Central Jutland
2024,97482.5,Central Jutland
2008,49313.75,Capital Region
2009,49440.75,Capital Region
2010,49858.5,Capital Region
2011,50271.25,Capital Region
2012,50925.25,Capital Region
2013,51561.25,Capital Region
2014,52045.0,Capital Region
2015,52567.0,Capital Region
2016,52946.0,Capital Region
2017,53096.75,Capital Region
2018,53416.25,Capital Region
2019,53491.5,Capital Region
2020,53467.25,Capital Region
2021,53326.0,Capital Region
2022,53322.0,Capital Region
2023,53597.5,Capital Region
2024,53776.75,Capital Region
2008,47250.0,Capital Region
2009,47521.5,Capital Region
2010,47625.25,Capital Region
2011,47897.0,Capital Region
2012,48205.5,Capital Region
2013,48606.0,Capital Region
2014,48948.25,Capital Region
2015,49518.5,Capital Region
2016,50121.25,Capital Region
2017,50373.25,Capital Region
2018,50657.25,Capital Region
2019,50826.0,Capital Region
2020,50937.25,Capital Region
2021,52286.75,Capital Region
2022,53857.75,Capital Region
2023,56133.0,Capital Region
2024,58237.75,Capital Region
2008,24236.0,Capital Region
2009,24321.25,Capital Region
2010,24414.25,Capital Region
2011,24401.5,Capital Region
2012,24395.75,Capital Region
2013,24596.75,Capital Region
2014,24788.5,Capital Region
2015,24923.5,Capital Region
2016,24968.75,Capital Region
2017,25044.0,Capital Region
2018,25051.25,Capital Region
2019,24992.75,Capital Region
2020,24856.25,Capital Region
2021,24819.0,Capital Region
2022,24776.0,Capital Region
2023,24746.25,Capital Region
2024,24916.0,Capital Region
2008,40031.5,Central Jutland
2009,40259.5,Central Jutland
2010,40390.75,Central Jutland
2011,40604.75,Central Jutland
2012,40601.5,Central Jutland
2013,40498.5,Central Jutland
2014,40650.25,Central Jutland
2015,40751.5,Central Jutland
2016,40946.75,Central Jutland
2017,41203.25,Central Jutland
2018,41341.0,Central Jutland
2019,41472.0,Central Jutland
2020,41381.25,Central Jutland
2021,41687.5,Central Jutland
2022,42248.25,Central Jutland
2023,42648.75,Central Jutland
2024,42864.5,Central Jutland
2008,20695.75,Capital Region
2009,20740.5,Capital Region
2010,20680.75,Capital Region
2011,20972.75,Capital Region
2012,21097.0,Capital Region
2013,21262.25,Capital Region
2014,21721.75,Capital Region
2015,22153.0,Capital Region
2016,22493.0,Capital Region
2017,22835.0,Capital Region
2018,22996.0,Capital Region
2019,22959.25,Capital Region
2020,22998.5,Capital Region
2021,23101.75,Capital Region
2022,23330.5,Capital Region
2023,23600.75,Capital Region
2024,23837.5,Capital Region
2008,39021.75,North Jutland
2009,38968.75,North Jutland
2010,38845.0,North Jutland
2011,38709.0,North Jutland
2012,38649.25,North Jutland
2013,38480.25,North Jutland
2014,38366.5,North Jutland
2015,38396.75,North Jutland
2016,38546.25,North Jutland
2017,38636.5,North Jutland
2018,38592.75,North Jutland
2019,38460.25,North Jutland
2020,38341.5,North Jutland
2021,38178.25,North Jutland
2022,38292.0,North Jutland
2023,38343.25,North Jutland
2024,38160.0,North Jutland
2008,49769.0,Zealand Region
2009,49574.0,Zealand Region
2010,49229.5,Zealand Region
2011,48979.0,Zealand Region
2012,48520.25,Zealand Region
2013,48337.0,Zealand Region
2014,48387.25,Zealand Region
2015,48554.75,Zealand Region
2016,48752.75,Zealand Region
2017,48823.25,Zealand Region
2018,48879.0,Zealand Region
2019,48603.75,Zealand Region
2020,48400.25,Zealand Region
2021,48447.25,Zealand Region
2022,48528.5,Zealand Region
2023,48526.0,Zealand Region
2024,48301.5,Zealand Region
2008,23654.25,Southern Denmark
2009,23756.75,Southern Denmark
2010,23748.75,Southern Denmark
2011,23743.25,Southern Denmark
2012,23763.75,Southern Denmark
2013,23720.5,Southern Denmark
2014,23735.75,Southern Denmark
2015,23809.25,Southern Denmark
2016,23843.0,Southern Denmark
2017,23778.0,Southern Denmark
2018,23787.0,Southern Denmark
2019,23814.0,Southern Denmark
2020,23827.0,Southern Denmark
2021,23900.5,Southern Denmark
2022,24047.25,Southern Denmark
2023,23963.0,Southern Denmark
2024,23919.75,Southern Denmark
2008,88054.0,Southern Denmark
2009,88723.0,Southern Denmark
2010,89106.0,Southern Denmark
2011,89270.0,Southern Denmark
2012,89455.75,Southern Denmark
2013,89674.75,Southern Denmark
2014,90314.5,Southern Denmark
2015,91072.25,Southern Denmark
2016,91898.0,Southern Denmark
2017,92395.25,Southern Denmark
2018,92615.0,Southern Denmark
2019,93054.5,Southern Denmark
2020,93113.75,Southern Denmark
2021,93164.75,Southern Denmark
2022,94044.75,Southern Denmark
2023,94672.25,Southern Denmark
2024,95219.5,Southern Denmark
2008,512558.5,
2009,521887.0,
2010,532085.0,
2011,542883.25,
2012,552612.5,
2013,563268.0,
2014,573433.25,
2015,584189.25,
2016,595423.75,
2017,606431.5,
2018,617019.25,
2019,627320.75,
2020,634190.0,
2021,639799.5,
2022,647829.0,
2023,656755.75,
2024,662770.5,
2008,56740.75,Zealand Region
2009,56907.75,Zealand Region
2010,57217.25,Zealand Region
2011,57245.0,Zealand Region
2012,57491.75,Zealand Region
2013,58039.5,Zealand Region
2014,58690.75,Zealand Region
2015,59461.0,Zealand Region
2016,59955.25,Zealand Region
2017,60193.25,Zealand Region
2018,60525.0,Zealand Region
2019,60736.5,Zealand Region
2020,61155.25,Zealand Region
2021,61590.25,Zealand Region
2022,61986.0,Zealand Region
2023,62535.5,Zealand Region
2024,62978.75,Zealand Region
2008,13666.25,Southern Denmark
2009,13544.75,Southern Denmark
2010,13465.5,Southern Denmark
2011,13228.5,Southern Denmark
2012,13013.5,Southern Denmark
2013,12803.5,Southern Denmark
2014,12666.5,Southern Denmark
2015,12583.75,Southern Denmark
2016,12556.5,Southern Denmark
2017,12578.25,Southern Denmark
2018,12603.5,Southern Denmark
2019,12545.0,Southern Denmark
2020,12415.25,Southern Denmark
2021,12355.25,Southern Denmark
2022,12359.75,Southern Denmark
2023,12347.75,Southern Denmark
2024,12167.75,Southern Denmark
2008,26653.75,Zealand Region
2009,26782.5,Zealand Region
2010,26819.0,Zealand Region
2011,26811.5,Zealand Region
2012,26943.75,Zealand Region
2013,26911.75,Zealand Region
2014,27018.5,Zealand Region
2015,27209.25,Zealand Region
2016,27379.75,Zealand Region
2017,27484.0,Zealand Region
2018,27652.0,Zealand Region
2019,27930.0,Zealand Region
2020,28055.5,Zealand Region
2021,28422.5,Zealand Region
2022,28780.0,Zealand Region
2023,29073.25,Zealand Region
2024,29438.75,Zealand Region
2008,22000.0,Central Jutland
2009,21885.0,Central Jutland
2010,21704.0,Central Jutland
2011,21511.5,Central Jutland
2012,21303.5,Central Jutland
2013,21081.0,Central Jutland
2014,20823.75,Central Jutland
2015,20576.0,Central Jutland
2016,20346.25,Central Jutland
2017,20268.25,Central Jutland
2018,20094.25,Central Jutland
2019,19904.5,Central Jutland
2020,19667.0,Central Jutland
2021,19513.75,Central Jutland
2022,19408.0,Central Jutland
2023,19300.5,Central Jutland
2024,19004.0,Central Jutland
2008,48071.75,Zealand Region
2009,47450.75,Zealand Region
2010,46699.0,Zealand Region
2011,45865.0,Zealand Region
2012,45022.25,Zealand Region
2013,44100.5,Zealand Region
2014,43358.75,Zealand Region
2015,42919.25,Zealand Region
2016,42531.0,Zealand Region
2017,42198.25,Zealand Region
2018,41859.25,Zealand Region
