Municipality,Region,year,purchase_price_mean,purchase_price_median,sqm_price_mean,sqm_price_median,sqm_mean,no_rooms_mean,%_change_between_offer_and_purchase_mean,nom_interest_rate%_mean,dk_ann_infl_rate%_mean,yield_on_mortgage_credit_bonds%_mean,no_sales,income,population,affordability,sales_per_1000,urban_rural
Struer,Central Jutland,2010,1037771.2264150945,822500.0,8145.897,6465.973876953125,138.68867,4.660377358490566,-3.3301888,0.8066038,2.31,4.53,106,305748.3333333333,22372.25,37.5340288900453,4.738012493155583,Rural
Struer,Central Jutland,2011,950836.4736842106,690800.0,7207.214,6125.731201171875,139.23685,4.7105263157894735,-3.9736843,0.90460527,2.76,4.75,76,312552.3333333333,22195.0,43.36659537698385,3.424194638432079,Rural
Struer,Central Jutland,2012,1870114.5694444445,787500.0,10565.009,6337.792724609375,150.19444,5.125,-5.4305553,0.4201389,2.4,3.6600003,72,321561.6666666667,22031.5,30.43647825256625,3.2680480221501034,Rural
Struer,Central Jutland,2013,1211719.217948718,687500.0,8880.391,6940.132080078125,135.57692,4.589743589743589,-2.9230769,0.0,0.79,3.48,78,326623.3333333333,21739.0,36.78028741452187,3.5880215281291687,Rural
Struer,Central Jutland,2014,890019.8974358974,528250.0,7407.8584,5536.64599609375,130.25641,4.589743589743589,-5.4358974,0.0,0.56,3.06,78,325917.6666666667,21528.75,43.9962063349735,3.6230621842884516,Rural
Struer,Central Jutland,2015,1065542.01,730625.0,8121.8394,6220.238037109375,139.74,4.87,-5.86,0.0,0.45,2.78,100,332844.3333333333,21415.25,40.98139804800047,4.66956958242374,Rural
Struer,Central Jutland,2016,763701.4615384615,527000.0,6806.1177,6691.17626953125,122.47863,3.9743589743589745,-4.4786325,0.0,0.25,2.55,117,335279.6666666667,21456.5,49.261514632147296,5.45289306270827,Rural
Struer,Central Jutland,2017,688242.4406779661,600000.0,7255.7065,5457.40380859375,115.067795,3.983050847457627,-4.8305087,0.0,1.15,2.26,59,346251.3333333333,21311.75,47.72124304274619,2.768425868359004,Rural
Struer,Central Jutland,2018,1142824.8174603174,795000.0,11644.135,7201.388916015625,117.666664,4.182539682539683,-4.4920635,0.0,0.81,2.12,126,352970.6666666667,21255.75,30.313171967403907,5.927807769662326,Rural
Struer,Central Jutland,2019,881771.4133333333,660000.0,7758.76,6563.3701171875,127.91333,4.5,-5.0466666,0.0,0.76,1.35,150,365474.0,21110.5,47.10469198686388,7.105468842519126,Rural
