"Income by income interval, family type, unit, region and time"

" "," "," "," ","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Total"
" ","Families, total"
" "," ","Average income for families in the group (DKK)"
" "," "," ","Samsø",156591,167570,177862,186637,194820,200950,204154,224133,240773,247317,252973,263532,269762,276895,296069,296704,302085,314249,318017,339019,359537,363454,364190,366680,378584,394666,404303,403109,423044,418160,428298,435753,452671,487047,501983,486377,508171,526862
" "," "," ","Silkeborg",210348,222220,234221,240452,250256,257450,266615,284057,298964,315430,322003,336264,347596,365569,377098,388144,403407,416652,430758,455954,478563,484225,479219,474309,473162,490879,497565,483991,521542,548823,552176,562446,577284,607869,639270,643206,673114,710701
" "," "," ","Skanderborg",235101,246710,258673,268411,276537,287681,290361,310400,326185,338307,351625,367549,381325,397669,412978,425254,437609,450370,470128,497955,515558,524434,516343,543314,548052,563694,572593,583933,598285,607789,620167,632713,657098,698305,724538,723214,754551,791954
" "," "," ","Syddjurs",211273,220666,231610,240313,246670,255022,260485,273454,289391,301082,311789,322227,337341,347635,363170,372135,379780,395039,405462,426284,465715,452595,440433,459603,465973,478947,498792,487293,501656,512374,522561,522860,545259,571434,606226,587199,614641,649733
" "," "," ","Aarhus",199560,210672,219324,224597,231514,237633,239621,254010,263762,271872,281161,292182,302311,312294,325431,333609,342034,349191,363893,380340,396586,397351,395726,414364,415824,420636,430668,439370,459230,459811,474331,482091,492816,513739,536865,538482,566479,597640
" "," "," ","Herning",217178,225975,238771,243509,252699,260107,263836,283072,295317,304482,316488,327390,336315,349804,364861,369558,376219,389236,407026,425962,446793,447749,433043,453985,471773,466662,470378,481509,487924,498724,513624,523739,538827,569355,587763,595738,619700,651309
" "," "," ","Holstebro",205342,213881,223579,232434,241551,248865,254112,274874,285350,294581,304757,318830,322100,336744,360105,364894,369375,381948,400120,420532,445496,439325,427450,447386,454296,466935,479832,477943,490119,487782,503701,507072,523364,548405,580170,578180,604081,638181
" "," "," ","Ikast-Brande",212978,222151,233017,239090,252250,258985,264858,277871,288643,299785,312778,319773,332695,349463,358616,365612,374778,388968,401951,426178,459847,448774,431965,452056,465112,471266,481977,480209,496010,501892,513995,516517,552012,600087,575805,583314,599853,635534
" "," "," ","Lemvig",204220,214581,223506,228885,238619,245055,247778,267261,279618,290236,306547,318185,325246,338265,355333,361419,363289,379520,392940,420919,442666,435525,422968,461471,461029,461744,484473,481966,498879,518519,516919,509678,537347,565898,590450,596226,624564,660501
" "," "," ","Ringkøbing-Skjern",203449,216216,227457,237627,246856,253370,260743,279373,293836,301372,315903,329630,334120,350775,376551,376515,379370,397148,414384,441744,453597,448570,438526,456672,468764,480833,485971,490530,498079,501871,520930,523802,541957,568006,592935,592394,619065,655867
" "," "," ","Skive",198727,208624,219354,227594,235778,243453,251483,267971,280586,296462,298683,312149,319005,331205,356083,352503,358076,373201,387894,405270,422882,421775,417170,429319,435002,443624,447289,451468,462189,469532,483792,488469,505802,535886,548612,557051,576314,607548
" "," "," ","Struer",206041,216635,225461,233636,243439,253033,258481,274028,288228,300200,314399,322424,328598,342525,355781,363593,367043,382325,400590,416276,429529,442395,428806,441224,446765,457587,458899,455238,463838,465718,480065,485057,502133,518450,543917,548629,567683,599685
" "," "," ","Viborg",203721,216091,227079,232893,243416,250275,253776,272129,286120,295854,308503,320521,329414,342273,357075,365106,375444,385370,401258,421333,444345,448176,441602,459896,463587,470993,480837,482394,491621,498030,516897,525265,540503,563952,583711,587297,604823,639745
" "," "," ","Brønderslev",191838,201048,211920,220682,229366,236360,240811,260084,271344,280159,293643,301003,309572,326474,339752,344693,349609,364310,382362,403057,418676,411280,413523,432640,443007,458001,464315,465353,473090,495585,493988,497358,519000,550217,566599,568809,593264,619581
" "," "," ","Frederikshavn",208922,218962,225603,233512,242824,251032,254730,270682,280608,288275,299075,307048,312870,320078,334703,346623,353561,363173,376581,401535,411437,413953,409951,425156,431090,447454,449030,451211,457162,461786,472786,476385,490945,509201,527362,534290,557255,590543
" "," "," ","Hjørring",199466,209344,218054,224973,234462,241289,246656,263832,273318,283162,294456,303346,310584,320408,338631,348620,352712,368792,380079,397240,410826,414344,407760,425708,439049,447550,456630,459352,466818,469788,490617,492666,505958,527433,545869,547309,575015,599547
" "," "," ","Jammerbugt",202929,214807,224744,231117,239902,248365,253017,272579,285023,295774,305617,322466,326900,343352,354911,363877,369525,379272,396918,416979,430058,431953,426750,442533,451406,462793,472351,470859,476837,479402,486574,496226,511467,538453,563368,560228,575790,606882
" "," "," ","Læsø",175430,182680,189005,200635,214386,216401,215082,232045,239531,247872,261087,269790,277635,283050,292342,307561,304873,322478,326893,351271,360652,347623,345130,369700,377351,380807,391657,389300,391164,405037,418281,406422,421065,432978,460841,441210,476720,506604
" "," "," ","Mariagerfjord",196995,208176,218664,224408,232705,239499,245071,264305,273965,285324,298601,309202,316822,330817,343614,350884,359297,373439,387942,408536,428223,431250,422374,439080,444811,457226,458311,466290,471140,479999,491762,498222,518355,541367,559003,570470,590028,618830
" "," "," ","Morsø",184256,193815,201336,210496,220180,228330,233347,249802,258919,271151,282251,290042,297714,313368,329830,336264,340811,367316,372282,385804,389647,398941,390061,400184,411592,420206,428520,431436,440212,444802,460571,462789,488643,501608,517166,536268,546592,573681
" "," "," ","Rebild",216629,227751,237807,244698,253205,261933,267521,288896,300040,311331,324668,338342,348985,366626,383192,389465,397941,412881,429050,454456,470785,472082,469388,484715,503567,515064,526481,531176,539554,550053,568116,582996,606943,634178,659046,674931,705918,742779
" "," "," ","Thisted",196448,203010,212616,221839,234339,242458,246207,263972,275569,284465,298405,307923,314415,329769,346055,349388,353470,369145,387484,408484,428343,423752,410893,427301,436267,439855,452071,451725,464091,472953,483582,489335,509796,531125,550142,555421,567900,596389
" "," "," ","Vesthimmerlands",187445,199362,207913,213553,222829,232130,235811,257340,267452,276599,288167,298913,305817,317778,330593,342786,351537,362559,377862,393738,413047,411024,402691,416878,427845,436860,444718,447865,452344,458886,472437,478323,498102,515966,555805,555936,570097,595244
" "," "," ","Aalborg",198768,208383,217477,223198,231015,237479,241017,256272,267713,275503,284486,296826,305150,319678,329029,336406,343524,353803,365050,378942,397215,405354,402203,415596,419000,425407,429229,433128,442891,448098,461034,470081,481762,502317,521581,529479,555535,589474

"13th of Nov. 2019: 2018-Data on tax-free cash benefits, and thus "
"overall transfers and total income has been corrected since the "
"September release. "

