Municipality,Region,year,income
Svendborg,Southern Denmark,2011,307865.6666666667
Syddjurs,Central Jutland,2011,328159.3333333333
Sønderborg,Southern Denmark,2011,305580.6666666667
Thisted,North Jutland,2011,305043.3333333333
Tårnby,Capital Region,2011,347308.3333333333
Tønder,Southern Denmark,2011,292528.3333333333
Vallensbæk,Capital Region,2011,379401.6666666667
Varde,Southern Denmark,2011,318365.3333333333
Vejen,Southern Denmark,2011,307973.0
Vejle,Southern Denmark,2011,335693.3333333333
Vesthimmerland,North Jutland,2011,297777.3333333333
Viborg,Central Jutland,2011,323980.6666666667
Vordingborg,Zealand Region,2011,296674.6666666667
Ærø,Southern Denmark,2011,276708.0
Aabenraa,Southern Denmark,2012,312566.6666666667
Aalborg,North Jutland,2012,310591.0
Aarhus,Central Jutland,2012,324827.0
Albertslund,Capital Region,2012,314776.0
Allerød,Capital Region,2012,461174.0
Assens,Southern Denmark,2012,317721.0
Ballerup,Capital Region,2012,343129.3333333333
Billund,Southern Denmark,2012,342039.6666666667
Bornholm,Capital Region,2012,292584.3333333333
Brøndby,Capital Region,2012,312054.3333333333
Brønderslev,North Jutland,2012,314114.3333333333
Copenhagen,Capital Region,2012,302645.3333333333
Dragør,Capital Region,2012,447210.3333333333
Egedal,Capital Region,2012,411227.0
Esbjerg,Southern Denmark,2012,327958.3333333333
Faaborg-Midtfyn,Southern Denmark,2012,316964.3333333333
Fanø,Southern Denmark,2012,358123.3333333333
Favrskov,Central Jutland,2012,360415.6666666667
Faxe,Zealand Region,2012,328808.6666666667
Fredensborg,Capital Region,2012,408480.3333333333
Fredericia,Southern Denmark,2012,322289.6666666667
Frederiksberg,Capital Region,2012,362634.6666666667
Frederikshavn,North Jutland,2012,319327.0
Frederikssund,Capital Region,2012,353354.3333333333
Furesø,Capital Region,2012,451643.6666666667
Gentofte,Capital Region,2012,586696.0
Gladsaxe,Capital Region,2012,360178.0
Glostrup,Capital Region,2012,333086.6666666667
Greve,Zealand Region,2012,388789.0
Gribskov,Capital Region,2012,362704.3333333333
Guldborgsund,Zealand Region,2012,293565.3333333333
Haderslev,Southern Denmark,2012,309904.0
Halsnæs,Capital Region,2012,322641.3333333333
Hedensted,Central Jutland,2012,341955.3333333333
Helsingør,Capital Region,2012,364013.3333333333
Herlev,Capital Region,2012,343826.3333333333
Herning,Central Jutland,2012,332227.3333333333
Hillerød,Capital Region,2012,388268.6666666667
Hjørring,North Jutland,2012,316502.0
Holbæk,Zealand Region,2012,335591.6666666667
Holstebro,Central Jutland,2012,334960.0
Horsens,Central Jutland,2012,326934.6666666667
Hvidovre,Capital Region,2012,331906.3333333333
Høje-Taastrup,Capital Region,2012,336539.6666666667
Hørsholm,Capital Region,2012,540550.6666666666
Ikast-Brande,Central Jutland,2012,326760.3333333333
Ishøj,Capital Region,2012,312755.0
Jammerbugt,North Jutland,2012,320622.0
Kalundborg,Zealand Region,2012,321373.6666666667
Kerteminde,Southern Denmark,2012,324327.6666666667
Kolding,Southern Denmark,2012,336988.6666666667
Køge,Zealand Region,2012,347353.0
Langeland,Southern Denmark,2012,277042.0
Lejre,Zealand Region,2012,378735.0
Lemvig,Central Jutland,2012,323696.6666666667
Lolland,Zealand Region,2012,279050.0
Lyngby-Taarbæk,Capital Region,2012,446488.6666666667
Læsø,North Jutland,2012,290312.3333333333
Mariagerfjord,North Jutland,2012,319155.0
Middelfart,Southern Denmark,2012,343653.0
Morsø,North Jutland,2012,298527.3333333333
Norddjurs,Central Jutland,2012,304655.3333333333
Nordfyns,Southern Denmark,2012,315629.3333333333
Nyborg,Southern Denmark,2012,314840.6666666667
Næstved,Zealand Region,2012,325232.6666666667
Odder,Central Jutland,2012,355607.6666666667
Odense,Southern Denmark,2012,304369.0
Odsherred,Zealand Region,2012,302217.6666666667
Randers,Central Jutland,2012,312080.3333333333
Rebild,North Jutland,2012,347302.6666666667
Ringkøbing-Skjern,Central Jutland,2012,333803.0
Ringsted,Zealand Region,2012,338119.3333333333
Roskilde,Zealand Region,2012,374509.3333333333
Rudersdal,Capital Region,2012,562367.0
Rødovre,Capital Region,2012,328249.0
Samsø,Central Jutland,2012,294426.6666666667
Silkeborg,Central Jutland,2012,347378.6666666667
Skanderborg,Central Jutland,2012,383666.3333333333
Skive,Central Jutland,2012,314691.0
Slagelse,Zealand Region,2012,313718.3333333333
Solrød,Zealand Region,2012,414885.0
Sorø,Zealand Region,2012,334117.0
Stevns,Zealand Region,2012,335809.0
Struer,Central Jutland,2012,321561.6666666667
Svendborg,Southern Denmark,2012,319689.6666666667
Syddjurs,Central Jutland,2012,340807.0
Sønderborg,Southern Denmark,2012,315957.3333333333
Thisted,North Jutland,2012,310665.0
Tårnby,Capital Region,2012,352947.0
Tønder,Southern Denmark,2012,294740.3333333333
Vallensbæk,Capital Region,2012,388893.0
Varde,Southern Denmark,2012,329375.0
Vejen,Southern Denmark,2012,322341.6666666667
Vejle,Southern Denmark,2012,345843.6666666667
Vesthimmerland,North Jutland,2012,305141.3333333333
Viborg,Central Jutland,2012,331411.3333333333
Vordingborg,Zealand Region,2012,304219.6666666667
Ærø,Southern Denmark,2012,283983.0
Aabenraa,Southern Denmark,2013,318038.3333333333
Aalborg,North Jutland,2013,316597.6666666667
Aarhus,Central Jutland,2013,336371.3333333333
Albertslund,Capital Region,2013,316540.3333333333
Allerød,Capital Region,2013,474084.6666666667
Assens,Southern Denmark,2013,323432.6666666667
Ballerup,Capital Region,2013,350037.0
Billund,Southern Denmark,2013,351436.6666666667
Bornholm,Capital Region,2013,296142.3333333333
Brøndby,Capital Region,2013,316353.0
Brønderslev,North Jutland,2013,322419.0
Copenhagen,Capital Region,2013,311350.6666666667
Dragør,Capital Region,2013,457891.6666666667
Egedal,Capital Region,2013,424794.3333333333
Esbjerg,Southern Denmark,2013,335569.6666666667
Faaborg-Midtfyn,Southern Denmark,2013,322389.3333333333
Fanø,Southern Denmark,2013,367581.3333333333
Favrskov,Central Jutland,2013,370337.0
Faxe,Zealand Region,2013,333437.6666666667
Fredensborg,Capital Region,2013,424101.3333333333
Fredericia,Southern Denmark,2013,328728.3333333333
Frederiksberg,Capital Region,2013,375562.6666666667
Frederikshavn,North Jutland,2013,322913.6666666667
Frederikssund,Capital Region,2013,365130.6666666667
Furesø,Capital Region,2013,466009.3333333333
Gentofte,Capital Region,2013,609968.3333333334
Gladsaxe,Capital Region,2013,371299.3333333333
Glostrup,Capital Region,2013,342027.0
Greve,Zealand Region,2013,400067.3333333333
Gribskov,Capital Region,2013,368251.6666666667
Guldborgsund,Zealand Region,2013,303367.3333333333
Haderslev,Southern Denmark,2013,317030.3333333333
Halsnæs,Capital Region,2013,331447.6666666667
Hedensted,Central Jutland,2013,351741.0
Helsingør,Capital Region,2013,379183.6666666667
Herlev,Capital Region,2013,353603.6666666667
Herning,Central Jutland,2013,339262.0
Hillerød,Capital Region,2013,397276.3333333333
Hjørring,North Jutland,2013,325100.0
Holbæk,Zealand Region,2013,344280.3333333333
Holstebro,Central Jutland,2013,346662.0
Horsens,Central Jutland,2013,336028.0
Hvidovre,Capital Region,2013,338570.6666666667
Høje-Taastrup,Capital Region,2013,342800.3333333333
Hørsholm,Capital Region,2013,562936.6666666666
Ikast-Brande,Central Jutland,2013,338598.3333333333
Ishøj,Capital Region,2013,317266.0
Jammerbugt,North Jutland,2013,329151.3333333333
Kalundborg,Zealand Region,2013,330579.6666666667
Kerteminde,Southern Denmark,2013,332828.3333333333
Kolding,Southern Denmark,2013,342509.0
Køge,Zealand Region,2013,355673.6666666667
Langeland,Southern Denmark,2013,280655.0
Lejre,Zealand Region,2013,391832.6666666667
Lemvig,Central Jutland,2013,342850.6666666667
Lolland,Zealand Region,2013,287717.3333333333
Lyngby-Taarbæk,Capital Region,2013,466437.6666666667
Læsø,North Jutland,2013,297667.6666666667
Mariagerfjord,North Jutland,2013,323506.3333333333
Middelfart,Southern Denmark,2013,350617.6666666667
Morsø,North Jutland,2013,307953.0
Norddjurs,Central Jutland,2013,309833.3333333333
Nordfyns,Southern Denmark,2013,325175.6666666667
Nyborg,Southern Denmark,2013,320565.3333333333
Næstved,Zealand Region,2013,332838.0
Odder,Central Jutland,2013,363727.3333333333
Odense,Southern Denmark,2013,313328.3333333333
Odsherred,Zealand Region,2013,309858.0
Randers,Central Jutland,2013,318337.3333333333
Rebild,North Jutland,2013,358061.6666666667
Ringkøbing-Skjern,Central Jutland,2013,340909.3333333333
Ringsted,Zealand Region,2013,345674.0
